,a2c,ddpg,td3,ppo,sac,mean var,dji
2024-05-24,1243677.2640873282,1222986.681858471,1153262.5541455536,1161744.063983198,1169672.7953387455,1089209.939136855,1168581.3123076719
2024-05-28,1235298.0132404654,1209818.2818607597,1145640.1280190735,1157768.6951723155,1165653.7576056675,1084614.51024389,1162098.849179653
2024-05-29,1234261.603694567,1201289.8304294853,1129826.8317410736,1146320.7339506282,1152051.3792315677,1070301.4740745772,1149796.154616379
2024-05-30,1154903.2015415519,1209882.4621395378,1117493.982681015,1140422.5205203304,1132930.161625977,1072506.6788199516,1139924.0186107203
2024-05-31,1187787.1659522916,1225009.7366794853,1138802.0690247803,1165429.2896370906,1154237.6389800266,1090020.8921018385,1157117.6237051839
2024-06-03,1188665.643266287,1217328.0862087517,1136463.8698384552,1162683.4333766687,1150632.7072306827,1091002.4818822783,1153669.2986910292
2024-06-04,1193001.2518440152,1219943.1367267875,1140305.8193871765,1165236.619181387,1157014.2373572544,1099074.9862488718,1157864.4453318857
2024-06-05,1194897.3987670804,1217782.1291431694,1143393.1051633148,1158614.6793473568,1161484.2855960086,1102008.2676280818,1160736.9979780202
2024-06-06,1206369.8437782193,1217585.2822880058,1143733.3785588532,1162072.20008959,1164366.0076533512,1101025.747454833,1163095.234478857
2024-06-07,1199247.2847190762,1224520.2054943352,1137915.739989975,1164279.87004965,1157688.300610657,1092410.0135603345,1160487.551142443
2024-06-10,1203375.0381904508,1228008.6090091972,1140449.9329125672,1167119.9630865916,1160375.9954444126,1092988.003608699,1162552.8774714805
2024-06-11,1198379.5608344937,1215142.1327823906,1140659.30277417,1152849.510783552,1160350.6642943576,1115489.8446499913,1158945.1868911772
2024-06-12,1188636.8748451138,1209551.1459125786,1141243.565871933,1141560.979217924,1161858.4403506473,1125924.5970814992,1157892.0188462634
2024-06-13,1180290.0263229276,1207741.9229587822,1139696.6490418701,1139525.3901288433,1160984.2943144992,1132105.0077346072,1155944.5809748827
2024-06-14,1187700.0346275235,1207807.8002208977,1137941.7126233368,1137608.7187131937,1159941.5055590824,1129397.2434395018,1154211.5388614803
2024-06-17,1192792.419652548,1217820.573982647,1141702.0754849701,1145732.344798521,1164711.4441653446,1134946.4363972966,1159862.82410271
2024-06-18,1196797.4664207364,1222334.605156353,1143071.6809842377,1146608.1607749308,1163737.4089633182,1129402.173065302,1161560.4646277379
2024-06-20,1213722.1158691312,1237447.029766491,1153304.0172936707,1158653.5276908244,1171694.3574286655,1127772.7177530457,1170530.6195698578
2024-06-21,1221601.6138587857,1235273.8162464409,1152855.5943829804,1158277.8898840274,1172016.4607363895,1127188.684254162,1170996.2147172932
2024-06-24,1218075.6973396207,1248390.8985447197,1163551.9308640747,1168444.255773958,1177507.5220977024,1132384.1399296208,1178799.2856123038
2024-06-25,1213316.9955230618,1237827.851677349,1152428.7042615204,1160564.5841080188,1167251.5417987064,1119717.6754139136,1169854.6011199052
2024-06-26,1218502.5344024564,1228934.0770916252,1150701.8385464936,1158236.120313982,1169838.853383179,1128365.8372595143,1170322.4161689219
2024-06-27,1229552.466424551,1229896.1942905693,1152035.6941315918,1164424.6635539492,1170849.9336348728,1128775.1083053048,1171406.896509824
2024-06-28,1227090.3190132047,1227460.8766865043,1157062.370547989,1160489.5830438402,1178504.8730174259,1133909.5750328822,1170054.9764468442
2024-07-01,1228915.9877143765,1226392.628719738,1151924.980268219,1161099.2892825108,1178549.0505362705,1129238.477369757,1171570.2345314336
2024-07-02,1233436.7371574307,1232963.2294925957,1155034.2502686768,1166019.3929625032,1183541.5434066013,1136759.6102326382,1176425.6266373235
2024-07-03,1240634.4416824246,1229815.1524013786,1153523.8601491242,1166814.51241897,1183146.4420634464,1134248.9373866864,1175712.2203712657
2024-07-05,1254154.709935751,1231679.165928295,1154983.93577359,1160728.0494613093,1186847.9999304966,1144899.0028434114,1177742.261948854
2024-07-08,1243177.33913954,1233183.473602703,1154619.4705045014,1159849.8743264521,1185714.8419314579,1147671.771000581,1176812.5905340125
2024-07-09,1236266.3758903334,1234837.1795849113,1155216.462367752,1158178.1196733378,1181944.0971919254,1148035.9959076948,1175232.7216297162
2024-07-10,1244341.2240958998,1252823.4158520012,1171659.9406506806,1167457.6136690043,1195461.0808688358,1166575.6079748573,1188075.9038095614
2024-07-11,1236162.7589431594,1259158.3604969291,1177786.0827672272,1168494.298376646,1195319.792245026,1166663.2478652685,1189044.7155943878
2024-07-12,1240290.2823654006,1270948.8035511284,1188454.1961285858,1166059.123236265,1203823.998936768,1177977.4485992943,1196436.9878599423
2024-07-15,1240636.5136276076,1274442.6772007255,1196041.2439496308,1172420.709463682,1211104.937329407,1185071.8025101307,1202742.6767199389
2024-07-16,1253120.8357292006,1292006.4099087028,1225306.913528183,1190416.7473207377,1237400.8574877933,1212900.3561195282,1224958.8675604379
2024-07-17,1252863.4593292067,1309221.9250568657,1237744.556686142,1202243.9679751415,1246457.9291888431,1223024.5400552235,1232244.9350608687
2024-07-18,1242464.5326591323,1299739.7940639763,1220680.3482205658,1186786.4384832743,1230203.2091571048,1205288.8638246313,1216301.0177197217
2024-07-19,1236061.3973251174,1270799.2662090568,1214414.3069035797,1175351.4946368847,1218575.483033295,1202732.862567959,1205010.2477667206
2024-07-22,1246888.7241302321,1279291.257904461,1217799.3905751496,1172253.890060995,1221501.9506159977,1200161.6095416476,1208836.0728866127
2024-07-23,1249517.1732955764,1280492.1825107841,1211999.386775711,1164135.8208547572,1221927.46759903,1194753.7161964218,1207120.673148935
2024-07-24,1232464.0622344802,1278087.3429149895,1203154.1410519867,1156093.583546255,1201305.9903765873,1179366.1462873418,1192039.362827491
2024-07-25,1237089.982291075,1283626.191170147,1209080.009509781,1154084.3888860682,1204412.6887599186,1177012.8090761362,1194468.0519943011
2024-07-26,1257111.8387104552,1321859.9450229912,1228615.1093365937,1165255.8664801158,1223653.194020386,1188528.8046237463,1214037.4191284012
2024-07-29,1252941.7120281088,1316143.847458294,1224217.221940735,1168218.033363058,1222479.2450820163,1192892.5783408452,1212559.548859917
2024-07-30,1246271.0319753133,1331553.5329174309,1231710.9500500946,1184342.776229574,1233573.9739886478,1199103.2814707852,1218643.2475617887
2024-07-31,1243766.541252657,1325745.450077465,1235886.2759244232,1182703.341474863,1237325.2690402225,1204757.7847339872,1221618.1493545112
2024-08-01,1239624.099041506,1319751.072670391,1221249.8656117707,1161691.770571085,1217198.0312892154,1195266.222824658,1206817.948675408
2024-08-02,1212123.062939211,1311089.5640720634,1211438.560182312,1138094.3603461704,1201587.0114012912,1205613.343699668,1188551.546932575
2024-08-05,1186009.0474172079,1281334.75256007,1180622.776141861,1113302.825499895,1167566.240304108,1167118.5622339852,1157624.5791241857
2024-08-06,1191121.118004366,1287460.1688198356,1187765.5354059103,1121840.6416244677,1173631.346259232,1167222.4611731179,1166429.8771646668
2024-08-07,1190607.6022992574,1273819.026665142,1179181.9941385153,1111372.7529114704,1167543.058482285,1160059.4499301694,1159424.5687958016
2024-08-08,1214120.757572695,1298549.5680546074,1201131.3320291403,1125540.0737770405,1185762.128237839,1172900.3510274263,1179854.4398849483
2024-08-09,1224033.692665621,1299797.7071193962,1200321.2727678183,1126247.6152682055,1187696.7748614505,1172643.9161016494,1181381.3816620705
2024-08-12,1220059.66155295,1290681.9333156853,1198313.9591920737,1122373.7043795337,1185990.2255526737,1178252.9615100645,1177178.1732733664
2024-08-13,1229279.5848584615,1297062.269333294,1210920.8877084616,1125899.0342325915,1200164.7429343418,1191669.210542075,1189400.367195089
2024-08-14,1238090.6953549825,1306732.4781803398,1217545.1965082053,1132895.9149393786,1209629.9778929905,1199961.5058070014,1196661.081082723
2024-08-15,1272796.061489626,1325835.6455997734,1231181.644445217,1151412.4733423938,1227536.1928855137,1217051.0207685833,1213251.3402947888
